decade,identified_records_in_decade,scotland_count,scotland_share_within_identified,minimum_sample_passed
1520s,111,0,0.0,False
1530s,89,0,0.0,False
1540s,110,1,0.9090909090909091,False
1550s,226,6,2.6548672566371683,False
1560s,319,8,2.507836990595611,False
1570s,477,12,2.515723270440252,False
1580s,496,6,1.2096774193548387,False
1590s,598,61,10.200668896321071,False
1600s,1055,40,3.7914691943127963,True
1610s,1042,52,4.990403071017274,True
1620s,1364,53,3.8856304985337244,True
1630s,1872,130,6.944444444444445,True
1640s,6410,340,5.30421216848674,True
1650s,3579,178,4.973456272701872,True
1660s,3413,280,8.203926164664518,True
1670s,4605,326,7.079261672095548,True
1680s,7712,917,11.890560165975103,True
1690s,6334,1106,17.461319861067256,True
1700s,12953,2052,15.841889909673434,True
1710s,16275,1689,10.377880184331797,True
1720s,12796,1496,11.691153485464207,True
1730s,13161,1281,9.733302940506041,True
1740s,14987,2457,16.39420831387202,True
1750s,16477,2068,12.550828427505007,True
1760s,20785,5556,26.730815491941307,True
1770s,20587,3063,14.878321270704815,True
1780s,23571,2671,11.331721182809385,True
1790s,33451,4081,12.199934232160475,True
1800s,13944,3472,24.899598393574294,True
1810s,13734,4392,31.97903014416776,True
1820s,18979,6106,32.172401074872226,True
1830s,20598,6005,29.15331585590834,True
1840s,29715,6230,20.965842167255595,True
1850s,42071,6062,14.40897530365335,True
1860s,44748,5753,12.856440511307769,True
1870s,46590,5542,11.895256492809615,True
1880s,59565,7112,11.939897590867119,True
1890s,70342,7085,10.072218589178584,True
1900s,84770,6403,7.553379733396248,True
1910s,75681,4008,5.295913108970547,True
1920s,95458,4635,4.855538561461585,True
1930s,119936,5076,4.23225720384205,True
1940s,90057,3987,4.427196109130884,True
1950s,134025,5219,3.894049617608655,True
1960s,212091,8867,4.180752601477668,True
1970s,327616,18439,5.628235495213909,True
1980s,385596,31567,8.18654757829438,True
1990s,535441,47298,8.833466245580745,True
2000s,423317,51930,12.267402443086386,True
2010s,112559,11340,10.074716370969892,True
