decade,outcome,count,percentage_within_decade,total_records_in_decade,minimum_sample_passed
1520s,Place identified,111,8.795562599049129,1262,True
1520s,Place unresolved,721,57.13153724247226,1262,True
1520s,Publisher missing,3,0.2377179080824089,1262,True
1520s,Unknown / ambiguous,427,33.835182250396194,1262,True
1530s,Place identified,89,6.676669167291823,1333,True
1530s,Place unresolved,772,57.91447861965492,1333,True
1530s,Publisher missing,2,0.15003750937734434,1333,True
1530s,Unknown / ambiguous,470,35.25881470367592,1333,True
1540s,Place identified,110,6.0207991242474,1827,True
1540s,Place unresolved,1077,58.94909688013136,1827,True
1540s,Publisher missing,2,0.10946907498631638,1827,True
1540s,Unknown / ambiguous,638,34.92063492063492,1827,True
1550s,Place identified,226,8.260233918128655,2736,True
1550s,Place unresolved,1425,52.083333333333336,2736,True
1550s,Publisher missing,4,0.14619883040935672,2736,True
1550s,Unknown / ambiguous,1081,39.510233918128655,2736,True
1560s,Place identified,319,8.812154696132596,3620,True
1560s,Place unresolved,1389,38.370165745856355,3620,True
1560s,Publisher missing,2,0.05524861878453039,3620,True
1560s,Unknown / ambiguous,1910,52.762430939226526,3620,True
1570s,Place identified,477,15.947843530591776,2991,True
1570s,Place unresolved,1328,44.399866265463054,2991,True
1570s,Publisher missing,2,0.06686726847208291,2991,True
1570s,Unknown / ambiguous,1184,39.58542293547308,2991,True
1580s,Place identified,496,18.6676703048551,2657,True
1580s,Place unresolved,1577,59.35265336846067,2657,True
1580s,Publisher missing,7,0.26345502446368085,2657,True
1580s,Unknown / ambiguous,577,21.71622130222055,2657,True
1590s,Place identified,598,23.304754481683553,2566,True
1590s,Place unresolved,1657,64.57521434138738,2566,True
1590s,Publisher missing,12,0.46765393608729544,2566,True
1590s,Unknown / ambiguous,299,11.652377240841776,2566,True
1600s,Place identified,1055,29.346314325452017,3595,True
1600s,Place unresolved,2226,61.91933240611961,3595,True
1600s,Publisher missing,19,0.5285118219749653,3595,True
1600s,Unknown / ambiguous,295,8.205841446453407,3595,True
1610s,Place identified,1042,25.677673730901923,4058,True
1610s,Place unresolved,2717,66.9541646131099,4058,True
1610s,Publisher missing,5,0.1232134056185313,4058,True
1610s,Unknown / ambiguous,294,7.24494825036964,4058,True
1620s,Place identified,1364,38.65117597052989,3529,True
1620s,Place unresolved,2053,58.17512043071692,3529,True
1620s,Publisher missing,11,0.3117030320204024,3529,True
1620s,Unknown / ambiguous,101,2.8620005667327857,3529,True
1630s,Place identified,1872,49.49762030671602,3782,True
1630s,Place unresolved,1825,48.2548915917504,3782,True
1630s,Publisher missing,18,0.47593865679534636,3782,True
1630s,Unknown / ambiguous,67,1.7715494447382338,3782,True
1640s,Place identified,6410,73.50074532737071,8721,True
1640s,Place unresolved,2162,24.790735007453275,8721,True
1640s,Publisher missing,41,0.470129572296755,8721,True
1640s,Unknown / ambiguous,108,1.238390092879257,8721,True
1650s,Place identified,3579,60.77432501273561,5889,True
1650s,Place unresolved,2192,37.221939208694174,5889,True
1650s,Publisher missing,32,0.54338597384955,5889,True
1650s,Unknown / ambiguous,86,1.4603498047206656,5889,True
1660s,Place identified,3413,56.04269293924467,6090,True
1660s,Place unresolved,2547,41.82266009852217,6090,True
1660s,Publisher missing,25,0.41050903119868637,6090,True
1660s,Unknown / ambiguous,105,1.7241379310344827,6090,True
1670s,Place identified,4605,62.339244618925136,7387,True
1670s,Place unresolved,2652,35.90090699878164,7387,True
1670s,Publisher missing,37,0.5008799241911466,7387,True
1670s,Unknown / ambiguous,93,1.2589684581020713,7387,True
1680s,Place identified,7712,72.00074689571468,10711,True
1680s,Place unresolved,2735,25.534497245822052,10711,True
1680s,Publisher missing,79,0.7375595182522641,10711,True
1680s,Unknown / ambiguous,185,1.7271963402109982,10711,True
1690s,Place identified,6334,70.60528369189612,8971,True
1690s,Place unresolved,2370,26.418459480548435,8971,True
1690s,Publisher missing,57,0.6353806710511649,8971,True
1690s,Unknown / ambiguous,210,2.3408761565042915,8971,True
1700s,Place identified,12953,81.14389525778363,15963,True
1700s,Place unresolved,2734,17.127106433627766,15963,True
1700s,Publisher missing,87,0.5450103364029317,15963,True
1700s,Unknown / ambiguous,189,1.1839879721856794,15963,True
1710s,Place identified,16275,83.37175349623482,19521,True
1710s,Place unresolved,2930,15.009476973515701,19521,True
1710s,Publisher missing,171,0.875979714153988,19521,True
1710s,Unknown / ambiguous,145,0.7427898160954869,19521,True
1720s,Place identified,12796,79.70599227606827,16054,True
1720s,Place unresolved,2949,18.36925376853121,16054,True
1720s,Publisher missing,102,0.635355674598231,16054,True
1720s,Unknown / ambiguous,207,1.2893982808022924,16054,True
1730s,Place identified,13161,79.78781448923917,16495,True
1730s,Place unresolved,2954,17.90845710821461,16495,True
1730s,Publisher missing,121,0.7335556229160352,16495,True
1730s,Unknown / ambiguous,259,1.5701727796301908,16495,True
1740s,Place identified,14987,80.20013913415744,18687,True
1740s,Place unresolved,3372,18.044629956654358,18687,True
1740s,Publisher missing,173,0.9257772783218279,18687,True
1740s,Unknown / ambiguous,155,0.8294536308663777,18687,True
1750s,Place identified,16477,80.320756556498,20514,True
1750s,Place unresolved,3672,17.899970751681778,20514,True
1750s,Publisher missing,161,0.7848298722823438,20514,True
1750s,Unknown / ambiguous,204,0.9944428195378765,20514,True
1760s,Place identified,20785,84.07491303292613,24722,True
1760s,Place unresolved,3667,14.83294231858264,24722,True
1760s,Publisher missing,120,0.4853976215516544,24722,True
1760s,Unknown / ambiguous,150,0.606747026939568,24722,True
1770s,Place identified,20587,81.20784189972781,25351,True
1770s,Place unresolved,4474,17.648219005167448,25351,True
1770s,Publisher missing,140,0.5522464597057315,25351,True
1770s,Unknown / ambiguous,150,0.5916926353989981,25351,True
1780s,Place identified,23571,78.34540982516785,30086,True
1780s,Place unresolved,6134,20.388220434753705,30086,True
1780s,Publisher missing,184,0.6115801369407697,30086,True
1780s,Unknown / ambiguous,197,0.654789603137672,30086,True
1790s,Place identified,33451,79.82770141275296,41904,True
1790s,Place unresolved,7973,19.026823214967546,41904,True
1790s,Publisher missing,297,0.7087628865979382,41904,True
1790s,Unknown / ambiguous,183,0.43671248568155785,41904,True
1800s,Place identified,13944,78.21404532196546,17828,True
1800s,Place unresolved,3633,20.37805698900606,17828,True
1800s,Publisher missing,108,0.6057886470720215,17828,True
1800s,Unknown / ambiguous,143,0.802109041956473,17828,True
1810s,Place identified,13734,78.34569309754707,17530,True
1810s,Place unresolved,3568,20.353679406731317,17530,True
1810s,Publisher missing,77,0.4392470051340559,17530,True
1810s,Unknown / ambiguous,151,0.8613804905875642,17530,True
1820s,Place identified,18979,82.02169497385367,23139,True
1820s,Place unresolved,3686,15.929815463071007,23139,True
1820s,Publisher missing,226,0.9767059942089114,23139,True
1820s,Unknown / ambiguous,248,1.0717835688664161,23139,True
1830s,Place identified,20598,83.36571151044197,24708,True
1830s,Place unresolved,3575,14.468997895418486,24708,True
1830s,Publisher missing,314,1.2708434515136797,24708,True
1830s,Unknown / ambiguous,221,0.8944471426258701,24708,True
1840s,Place identified,29715,86.60740308947828,34310,True
1840s,Place unresolved,3918,11.419411250364325,34310,True
1840s,Publisher missing,413,1.2037306907607113,34310,True
1840s,Unknown / ambiguous,264,0.7694549693966773,34310,True
1850s,Place identified,42071,88.50345001682936,47536,True
1850s,Place unresolved,4894,10.295355099293166,47536,True
1850s,Publisher missing,164,0.34500168293503874,47536,True
1850s,Unknown / ambiguous,407,0.8561932009424437,47536,True
1860s,Place identified,44748,89.33162980116586,50092,True
1860s,Place unresolved,4836,9.654236205382096,50092,True
1860s,Publisher missing,163,0.3254012616785115,50092,True
