language,language_label,identified_records_in_language,scotland_count,scotland_share_within_identified,minimum_sample_passed
ara,Arabic,649,18,2.773497688751926,False
cat,cat,898,1,0.11135857461024498,False
chi,Chinese,813,21,2.5830258302583027,False
cze,cze,209,0,0.0,False
dan,Danish,905,3,0.3314917127071823,False
dut,Dutch,2538,12,0.4728132387706856,True
eng,English,3021914,287460,9.512514254211073,True
fre,French,85272,211,0.24744347499765454,True
ger,German,27488,107,0.38926076833527357,True
gla,Scottish Gaelic,1521,1288,84.681130834977,True
gle,Irish,314,5,1.5923566878980893,False
grc,grc,1596,37,2.318295739348371,True
gre,gre,717,11,1.5341701534170153,False
iri,iri,1927,3,0.15568240788790866,True
ita,Italian,27133,53,0.19533409501345228,True
lat,Latin,11613,593,5.106346336002756,True
nor,Norwegian,3447,4,0.11604293588627793,True
pol,Polish,1175,111,9.446808510638299,True
por,Portuguese,512,3,0.5859375,False
rus,Russian,18459,11,0.059591527168318975,True
sco,sco,1339,1170,87.37864077669903,True
spa,Spanish,14053,50,0.3557959154628905,True
swe,Swedish,3627,2,0.055141990625861594,True
wel,Welsh,1757,27,1.5367103016505406,True
