material_type,period,language_group,date_status,publisher_status,place_result,count
Notated music,1600-1699,Dutch,Date present,Publisher present,Place identified,3
Notated music,1600-1699,English,Date present,Publisher present,Place identified,13
Notated music,1600-1699,French,Date present,Publisher present,Place identified,1
Notated music,1600-1699,Latin,Date present,Publisher present,Place unresolved,3
Notated music,1700-1799,English,Date present,Publisher present,Place identified,237
Notated music,1700-1799,English,Date present,Publisher present,Place unresolved,5
Notated music,1700-1799,English,Date present,Publisher present,Explicitly unknown,10
Notated music,1700-1799,English,Date present,Publisher missing,Not assessed (Publisher missing),1
Notated music,1700-1799,French,Date present,Publisher present,Place identified,1
Notated music,1700-1799,French,Date present,Publisher present,Place unresolved,1
Notated music,1700-1799,German,Date present,Publisher present,Place unresolved,3
Notated music,1700-1799,Italian,Date present,Publisher present,Place identified,3
Notated music,1700-1799,Latin,Date present,Publisher present,Place identified,1
Notated music,1700-1799,Latin,Date present,Publisher present,Place unresolved,1
Notated music,1700-1799,Not recorded / undetermined,Date present,Publisher present,Place identified,59
Notated music,1700-1799,Not recorded / undetermined,Date present,Publisher present,Place unresolved,8
Notated music,1700-1799,Other languages,Date present,Publisher present,Place identified,4
Notated music,1700-1799,Other languages,Date present,Publisher present,Place unresolved,4
Notated music,1800-1899,Danish,Date present,Publisher present,Place unresolved,1
Notated music,1800-1899,English,Date present,Publisher present,Place identified,550
Notated music,1800-1899,English,Date present,Publisher present,Place unresolved,89
Notated music,1800-1899,English,Date present,Publisher present,Explicitly unknown,8
Notated music,1800-1899,French,Date present,Publisher present,Place identified,13
Notated music,1800-1899,French,Date present,Publisher present,Place unresolved,7
Notated music,1800-1899,German,Date present,Publisher present,Place identified,3
Notated music,1800-1899,German,Date present,Publisher present,Place unresolved,8
Notated music,1800-1899,Italian,Date present,Publisher present,Place identified,10
Notated music,1800-1899,Latin,Date present,Publisher present,Place identified,4
Notated music,1800-1899,Latin,Date present,Publisher present,Place unresolved,2
Notated music,1800-1899,Not recorded / undetermined,Date present,Publisher present,Place identified,278
Notated music,1800-1899,Not recorded / undetermined,Date present,Publisher present,Place unresolved,26
Notated music,1800-1899,Not recorded / undetermined,Date present,Publisher present,Explicitly unknown,2
Notated music,1800-1899,Other languages,Date present,Publisher present,Place identified,21
Notated music,1800-1899,Other languages,Date present,Publisher present,Place unresolved,2
Notated music,1800-1899,Russian,Date present,Publisher present,Place identified,1
Notated music,1800-1899,Russian,Date present,Publisher present,Place unresolved,1
Notated music,1800-1899,Spanish,Date present,Publisher present,Place identified,2
Notated music,1800-1899,Swedish,Date present,Publisher present,Place unresolved,1
Notated music,1900-2020,Danish,Date present,Publisher present,Place identified,4
Notated music,1900-2020,Dutch,Date present,Publisher present,Place identified,6
Notated music,1900-2020,Dutch,Date present,Publisher present,Place unresolved,3
Notated music,1900-2020,English,Date present,Publisher present,Place identified,7802
Notated music,1900-2020,English,Date present,Publisher present,Place unresolved,4821
Notated music,1900-2020,English,Date present,Publisher present,Explicitly unknown,343
Notated music,1900-2020,English,Date present,Publisher present,Ambiguous,15
Notated music,1900-2020,English,Date present,Publisher missing,Not assessed (Publisher missing),2
Notated music,1900-2020,French,Date present,Publisher present,Place identified,130
